feet	Rank	RankPrev	Player	Roundsp	percentMade	Attempts	Putts_made
05	T49	73	Jon Rahm	50	85.71	49	42
05	T49	64	Davis Riley	74	85.71	91	78
05	T49	T49	Vince Whaley	65	85.71	63	54
05	54	56	Michael Gligic	53	85.37	41	35
05	55	68	Stewart Cink	51	85.33	75	64
05	T56	T57	Brian Gay	39	85.29	34	29
05	T56	T57	Curtis Thompson	53	85.29	34	29
05	T58	8	Patrick Cantlay	43	85.19	27	23
05	T58	60	Talor Gooch	72	85.19	81	69
05	60	61	Kiradech Aphibarnrat	43	85.11	47	40
05	61	81	Max Homa	63	85.07	67	57
05	62	T36	Shane Lowry	43	85.00	40	34
05	63	T62	Chesson Hadley	58	84.91	53	45
05	64	T65	Matthias Schwab	54	84.78	46	39
05	65	67	Tyler Duncan	61	84.75	59	50
05	66	76	Matt Kuchar	59	84.72	72	61
05	67	90	Danny Willett	44	84.62	39	33
05	68	70	Doc Redman	65	84.51	71	60
05	T69	80	Billy Horschel	56	84.48	58	49
05	T69	71	Hank Lebioda	60	84.48	58	49
05	71	55	Alex Noren	58	84.31	51	43
05	72	T74	Seth Reeves	49	84.00	25	21
05	73	54	Keith Mitchell	65	83.95	81	68
05	T74	T94	Daniel Berger	39	83.67	49	41
05	T74	T78	Justin Thomas	53	83.67	49	41
05	76	T74	Brendan Steele	61	83.64	55	46
05	T77	82	Taylor Pendrith	51	83.58	67	56
05	T77	T98	Patrick Reed	65	83.58	67	56
05	79	77	Kramer Hickok	67	83.53	85	71
05	T80	T78	Cameron Champ	40	83.33	54	45
05	T80	T83	Jim Knous	35	83.33	30	25
05	T80	92	Patrick Rodgers	65	83.33	60	50
05	T80	T83	J.J. Spaun	73	83.33	72	60
05	T80	T83	Brian Stuard	75	83.33	60	50
05	T80	T83	Jared Wolfe	45	83.33	36	30
05	T86	87	Dylan Frittelli	67	83.10	71	59
05	T86	T101	Sam Ryder	66	83.10	71	59
05	88	72	Andrew Putnam	66	83.05	59	49
05	T89	89	Sergio Garcia	37	82.93	41	34
