Rank,Feet,Player,%Made,Attempts,Putts_made,LastSeason
139,27.5,Mark Hubbard,3.74%,107,4,-
139,27.5,Taylor Moore,3.74%,107,4,-
142,27.5,Ryan Fox,3.70%,108,4,21
143,27.5,Emiliano Grillo,3.51%,114,4,-
144,27.5,Ryan Gerard,3.42%,146,5,8
145,27.5,Ricky Castillo,3.33%,150,5,15
146,27.5,Max McGreevy,3.31%,151,5,3
147,27.5,Justin Thomas,3.17%,63,2,26
148,27.5,Sam Burns,3.15%,127,4,19
149,27.5,Keith Mitchell,3.05%,164,5,3
150,27.5,J.J. Spaun,2.94%,136,4,7
151,27.5,Luke Clanton,2.90%,69,2,2
151,27.5,Alejandro Tosti,2.90%,69,2,2
153,27.5,Davis Thompson,2.80%,107,3,2
154,27.5,Lee Hodges,2.63%,114,3,3
155,27.5,Daniel Berger,2.60%,154,4,-
156,27.5,Sepp Straka,2.29%,131,3,5
157,27.5,Brice Garnett,2.20%,91,2,2
158,27.5,Thorbjørn Olesen,2.11%,95,2,2
159,27.5,Nick Dunlap,1.61%,62,1,6
160,27.5,Kristoffer Reitan,1.52%,132,2,1
161,27.5,Nico Echavarria,1.43%,140,2,2
162,27.5,Christo Lamprecht,1.39%,72,1,4
163,27.5,Adrien Saddier,1.14%,88,1,4
164,27.5,Justin Lower,0.00%,48,0,5
1,22.5,Jake Knapp,32.56%,43,14,-
2,22.5,Rasmus Højgaard,32.26%,31,10,-
3,22.5,Robert MacIntyre,30.00%,30,9,-
4,22.5,Maverick McNealy,25.00%,48,12,4
5,22.5,Beau Hossler,23.53%,17,4,1
6,22.5,Hank Lebioda,23.33%,30,7,1
6,22.5,Matt Wallace,23.33%,30,7,10
8,22.5,Christiaan Bezuidenhout,22.86%,35,8,2
9,22.5,Xander Schauffele,22.58%,31,7,2
10,22.5,Seamus Power,22.22%,27,6,-
11,22.5,Jason Day,21.95%,41,9,-
12,22.5,Vince Whaley,21.05%,38,8,1
13,22.5,Tony Finau,20.93%,43,9,1
14,22.5,Sepp Straka,20.41%,49,10,3
15,22.5,Lee Hodges,20.00%,30,6,3
15,22.5,Alejandro Tosti,20.00%,15,3,3
17,22.5,Chad Ramey,19.57%,46,9,3
18,22.5,Harris English,19.51%,41,8,4
18,22.5,Matthieu Pavon,19.51%,41,8,3
20,22.5,Taylor Moore,19.44%,36,7,2
20,22.5,Aaron Rai,19.44%,36,7,2
22,22.5,Sam Ryder,19.23%,26,5,4
23,22.5,Russell Henley,19.15%,47,9,9
23,22.5,Stephan Jaeger,19.15%,47,9,4
25,22.5,Sami Valimaki,18.92%,37,7,5
26,22.5,Ryan Fox,18.75%,32,6,14
27,22.5,Daniel Berger,18.52%,54,10,11
28,22.5,Jhonattan Vegas,18.37%,49,9,20
29,22.5,Isaiah Salinda,18.18%,22,4,3
30,22.5,Tom Kim,18.00%,50,9,4
31,22.5,S.H. Kim,17.95%,39,7,4
32,22.5,Ryan Gerard,17.65%,51,9,-
32,22.5,Kurt Kitayama,17.65%,51,9,5
32,22.5,Sudarshan Yellamaraju,17.65%,51,9,26
35,22.5,Takumi Kanaya,17.50%,40,7,2
